case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification_command,difficulty
NS-CASE-011,DHCP excluded address overlaps full pool,No clients get addresses in VLAN 130 despite DHCP service running.,Branch router acts as DHCP server for small /29 subnet.,show running-config | include ip dhcp excluded-address\nip dhcp excluded-address 10.130.130.1 10.130.130.6\n\nshow running-config | section dhcp\nip dhcp pool VLAN130\n network 10.130.130.0 255.255.255.248\n default-router 10.130.130.1,Excluded-address range consumes all usable addresses in subnet.,L7,DHCP,SEV-3,show ip dhcp conflict,Reduce excluded range to reserve only gateway/static hosts.,show ip dhcp binding,medium
NS-CASE-012,DHCP scope has wrong default-router option,Clients get valid IP addresses but cannot reach any remote subnet.,DHCP server on router advertises gateway option to VLAN 140 clients.,show ip dhcp binding\nBindings from all pools not associated with VRF:\nIP address Client-ID Lease expiration Type\n10.140.140.20 0100.50ba.aa11.22 Automatic\n\nshow running-config | section dhcp\nip dhcp pool VLAN140\n network 10.140.140.0 255.255.255.0\n default-router 10.140.141.1,DHCP option default-router points to non-existent 10.140.141.1.,L7,DHCP,SEV-2,show ip interface vlan140,Set correct default-router option to 10.140.140.1.,ipconfig /renew,easy
NS-CASE-013,Incorrect DNS server handed by DHCP,Users can browse by IP but cannot resolve intranet.local hostnames.,DHCP scope in VLAN 200 provides DNS option to office PCs.,ipconfig /all\nDNS Servers . . . . . . . . . . . : 10.200.200.99\n\nshow running-config | section dhcp\nip dhcp pool OFFICE\n dns-server 10.200.200.99\n default-router 10.200.200.1,DHCP provides wrong DNS server address.,L7,DNS,SEV-2,nslookup intranet.local 10.200.200.99,Update DHCP dns-server option to reachable DNS server IP.,nslookup intranet.local,easy
NS-CASE-014,Missing DNS A record for app host,Only app01.corp.local fails name resolution; other hostnames resolve normally.,Internal DNS server reachable at 10.10.10.53.,nslookup app01.corp.local\nServer: 10.10.10.53\n*** 10.10.10.53 can't find app01.corp.local: Non-existent domain\n\nping 10.10.20.21\nReply from 10.10.20.21: bytes=32 time<1ms TTL=127,DNS zone lacks A record for app01.corp.local.,L7,DNS,SEV-3,show running-config | include ip host,Add correct A record for app01.corp.local on DNS server.,nslookup app01.corp.local,medium
NS-CASE-015,DNS ACL blocks UDP/53 from client VLAN,"Engineering VLAN users cannot resolve names, but server VLAN users can.",ACL applied inbound on SVI Vlan210.,show access-lists DNS-FILTER\nExtended IP access list DNS-FILTER\n 10 deny udp 10.210.210.0 0.0.0.255 host 10.10.10.53 eq domain\n 20 permit ip any any\n\nshow run interface vlan210\n ip access-group DNS-FILTER in,ACL explicitly denies DNS queries (UDP/53) from VLAN 210 to DNS server.,L3,DNS,SEV-2,show ip interface vlan210,Modify ACL to permit DNS traffic before deny statements.,nslookup fileserver.corp.local,medium
NS-CASE-016,Incorrect default domain suffix,Short-name lookups fail (fileserver) but FQDN lookups succeed.,Workstation uses DHCP-provided DNS suffix search list.,ipconfig /all\nConnection-specific DNS Suffix : corp.lcoal\n\nnslookup fileserver\n*** dns.corp.local can't find fileserver: Non-existent domain\n\nnslookup fileserver.corp.local\nName: fileserver.corp.local\nAddress: 10.10.30.15,"DNS suffix misspelled as corp.lcoal, causing failed short-name expansion.",L7,DNS,SEV-3,show running-config | section dhcp,Correct DHCP domain-name option to corp.local.,nslookup fileserver,easy
NS-CASE-017,Missing default route on branch router,Branch users can reach local VLANs but cannot access HQ or internet.,R-BRANCH connects to WAN via Serial0/0/0.,"show ip route\nGateway of last resort is not set\nC 10.31.0.0/24 is directly connected, GigabitEthernet0/0\nC 172.16.1.0/30 is directly connected, Serial0/0/0",No default route configured toward WAN next-hop.,L3,Routing,SEV-2,show running-config | include ip route,Add ip route 0.0.0.0 0.0.0.0 172.16.1.1.,traceroute 8.8.8.8,easy
NS-CASE-018,OSPF network statement misses LAN interface,Remote sites cannot reach 10.32.10.0/24 though local hosts are up.,R2 should advertise Gi0/1 LAN into OSPF area 0.,"show ip protocols\nRouting Protocol is ""ospf 1""\nRouting for Networks:\n 10.32.0.0 0.0.0.3 area 0\n\nshow ip interface brief\nGigabitEthernet0/1 10.32.10.1 up up",OSPF network statement wildcard only matches WAN link; LAN not advertised.,L3,Routing,SEV-2,show ip ospf interface brief,Add OSPF network statement covering 10.32.10.0/24 in area 0.,show ip route ospf,medium
NS-CASE-019,Static route points to wrong next-hop,Traffic to 10.50.0.0/16 is black-holed at core router.,R-CORE has redundant upstream routers R-EDGE1 and R-EDGE2.,"show ip route 10.50.0.0\nRouting entry for 10.50.0.0/16\n Known via ""static"", distance 1, metric 0\n * 172.20.0.6\n\nshow cdp neighbors\nR-EDGE2  Serial0/0/1  not present",Static route uses unreachable/incorrect next-hop 172.20.0.6.,L3,Routing,SEV-2,ping 172.20.0.6,Update static route next-hop to reachable edge router interface.,traceroute 10.50.10.10,medium
NS-CASE-020,EIGRP auto-summary causes discontiguous route issue,Inter-site subnet 10.44.12.0/24 unreachable after EIGRP migration.,Two WAN domains advertise discontiguous 10.0.0.0 networks.,show running-config | section router eigrp\nrouter eigrp 100\n network 10.0.0.0\n auto-summary\n\nshow ip route eigrp\nD 10.0.0.0/8 [90/30720] via 172.18.0.2,"EIGRP auto-summary enabled, summarizing to 10.0.0.0/8 and hiding specific subnet.",L3,Routing,SEV-2,show ip eigrp topology,Disable auto-summary under EIGRP and verify specific subnet advertisement.,show ip route 10.44.12.0,hard
NS-CASE-021,Inbound ACL blocks HTTPS to web server,Users can ping web server 10.60.60.20 but HTTPS fails from user VLAN.,Extended ACL USER-IN applied inbound on VLAN 300 SVI.,show access-lists USER-IN\nExtended IP access list USER-IN\n 10 deny tcp 10.30.0.0 0.0.255.255 host 10.60.60.20 eq 443\n 20 permit ip any any,ACL deny statement blocks required TCP/443 traffic.,L3,ACL,SEV-2,show run interface vlan300,Change ACL policy to permit required HTTPS traffic before deny rules.,telnet 10.60.60.20 443,medium
NS-CASE-022,Standard ACL applied on wrong interface direction,Entire branch loses access to HQ resources immediately after ACL change.,ACL 15 intended to restrict one subnet only.,show running-config interface s0/0/0\ninterface Serial0/0/0\n ip access-group 15 out\n\nshow access-lists 15\nStandard IP access list 15\n 10 deny 10.70.70.0 0.0.0.255\n 20 permit any,ACL placed outbound on WAN blocks broad return traffic unexpectedly.,L3,ACL,SEV-1,show ip interface serial0/0/0,Apply ACL in correct location/direction or redesign with extended ACL.,ping 10.10.10.10,hard
NS-CASE-023,ACL sequence permits unintended guest access,Guest VLAN can access internal HR subnet despite policy prohibition.,ACL GUEST-FILTER controls guest egress at distribution layer.,show access-lists GUEST-FILTER\nExtended IP access list GUEST-FILTER\n 10 permit ip any any\n 20 deny ip 10.250.250.0 0.0.0.255 10.40.40.0 0.0.0.255,Overly broad permit at sequence 10 shadows later deny rule.,L3,ACL,SEV-1,show run | section ip access-list extended GUEST-FILTER,Reorder ACL entries so specific deny appears before broad permit.,show access-lists GUEST-FILTER,medium
NS-CASE-024,VTY ACL prevents SSH from admin subnet,"Network team cannot SSH to router from admin VLAN, but console works.",VTY access-class configured for remote management.,show running-config | section line vty\nline vty 0 4\n access-class MGMT-VTY in\n transport input ssh\n\nshow access-lists MGMT-VTY\nStandard IP access list MGMT-VTY\n 10 permit 10.99.0.0 0.0.255.255\n\nshow ip interface brief\nVlan99 10.199.99.1 up up,VTY ACL permits wrong management subnet (10.99.0.0/16 vs 10.199.99.0/24).,L3,ACL,SEV-3,show users,Update MGMT-VTY ACL to include correct admin source subnet.,ssh admin@10.199.99.1,medium
NS-CASE-025,NAT inside/outside roles reversed,Internal users cannot reach internet; no NAT translations appear.,R-EDGE Gi0/0 faces LAN and Gi0/1 faces ISP.,show running-config interface gi0/0\ninterface GigabitEthernet0/0\n ip nat outside\n ip address 192.168.1.1 255.255.255.0\n\nshow running-config interface gi0/1\ninterface GigabitEthernet0/1\n ip nat inside\n ip address 203.0.113.2 255.255.255.252\n\nshow ip nat translations\nPro Inside global Inside local Outside local Outside global,NAT inside/outside interface designations are swapped.,L3,NAT,SEV-1,show ip nat statistics,Set Gi0/0 as ip nat inside and Gi0/1 as ip nat outside.,show ip nat translations,easy
NS-CASE-026,NAT ACL does not match client subnet,Only users in new VLAN 172.16.20.0/24 cannot browse internet; old VLAN works.,PAT overload uses ACL 1 with interface Gi0/1.,show running-config | include ip nat inside source\nip nat inside source list 1 interface GigabitEthernet0/1 overload\n\nshow access-lists 1\nStandard IP access list 1\n 10 permit 172.16.10.0 0.0.0.255,NAT match ACL excludes subnet 172.16.20.0/24.,L3,NAT,SEV-2,show ip interface brief,Add permit for 172.16.20.0/24 to NAT ACL.,show ip nat translations,easy
NS-CASE-027,Missing default route to ISP with NAT configured,NAT translations are created but internet destinations are unreachable.,Edge router performs PAT for all inside users.,show ip nat translations\nPro Inside global Inside local Outside local Outside global\ntcp 203.0.113.2:1025 192.168.10.25:1025 8.8.8.8:53 8.8.8.8:53\n\nshow ip route\nGateway of last resort is not set,"No default route toward ISP, so translated traffic has no egress route.",L3,NAT,SEV-1,show running-config | include ^ip route,Configure default route to ISP next-hop.,traceroute 8.8.8.8,medium
NS-CASE-028,Static NAT maps to wrong inside local host,Public access to web service reaches wrong internal server.,Static NAT should map 198.51.100.20 to web server 10.10.50.20.,show running-config | include ip nat inside source static\nip nat inside source static 10.10.50.30 198.51.100.20\n\nshow ip nat translations static\nPro Inside global Inside local Outside local Outside global\n--- 198.51.100.20 10.10.50.30 --- ---,Static NAT points to 10.10.50.30 instead of intended web server 10.10.50.20.,L3,NAT,SEV-2,show ip interface brief | include 10.10.50,Correct static NAT mapping to intended inside local host.,show ip nat translations static,medium
NS-CASE-029,Wireless SSID mapped to wrong VLAN,Staff Wi-Fi clients connect successfully but receive guest network restrictions.,AP trunk to switch carries VLAN 80 (STAFF) and VLAN 90 (GUEST).,show running-config interface dot11radio0\ninterface Dot11Radio0\n ssid STAFF\n  vlan 90\n\nshow vlan brief\n80 STAFF active\n90 GUEST active,STAFF SSID is bound to VLAN 90 instead of VLAN 80.,L2,Wireless,SEV-2,show dot11 associations,Bind STAFF SSID to VLAN 80 and verify AP trunk tagging.,ipconfig /renew,medium
NS-CASE-030,WPA2 passphrase mismatch after change,"Multiple laptops fail to authenticate to CorpWiFi, while old saved clients still connect intermittently.",Autonomous AP with WPA2-PSK in small lab.,"show running-config | section dot11 ssid\ndot11 ssid CorpWiFi\n authentication open\n authentication key-management wpa\n wpa-psk ascii 7 0822455D0A16\n\nClient message: ""Unable to join network""",Client devices use outdated pre-shared key that no longer matches AP WPA2 key.,L2,Wireless,SEV-3,show dot11 associations all-client,Update client Wi-Fi profile with current WPA2 passphrase.,ping 10.80.80.1,easy
NS-CASE-031,Wireless clients associate but fail DHCP,Users connect to SSID GuestWiFi but stay on 169.254.x.x addresses.,WLC/AP sends guest VLAN 90 to switch trunk Gi0/24.,"show interfaces trunk\nPort Vlans allowed on trunk\nGi0/24 1,80\n\nshow ip dhcp binding\n(no bindings for 10.90.90.0/24)","AP uplink trunk does not allow guest VLAN 90, preventing DHCP broadcast reachability.",L2,Wireless,SEV-2,show vlan brief,Allow VLAN 90 on AP trunk and verify DHCP relay/server reachability.,ipconfig /renew,medium
NS-CASE-032,Rogue DHCP on wireless segment gives wrong gateway,Wireless clients get IP addresses but internet and internal access both fail randomly.,Guest WLAN should use gateway 10.90.90.1 via authorized DHCP server.,ipconfig /all\nIPv4 Address: 10.90.90.45\nDefault Gateway: 10.90.90.254\nDHCP Server: 10.90.90.254\n\nshow ip dhcp snooping binding\n(no trusted binding for server 10.90.90.254),Unauthorized DHCP server on wireless VLAN issues incorrect gateway option.,L2,Wireless,SEV-1,show ip dhcp snooping,Enable/verify DHCP snooping trust boundaries and remove rogue DHCP source.,show ip dhcp snooping statistics,hard
